Precio,Tamaño de la propiedad,Parqueos,Dormitorios,Baños
"325,000",145.0,2.0,3.0,2.5
"155,000",62.0,2.0,3.0,2.0
"220,000",60.0,2.0,1.0,2.0
"750,000",191.0,2.0,3.0,2.0
"166,300",82.0,2.0,2.0,2.0
"166,300",82.0,2.0,2.0,2.0
"220,000",79.0,2.0,2.0,2.5
"265,000",101.0,2.0,3.0,2.0
"250,000",143.0,2.0,2.0,2.0
"240,000",118.0,2.0,3.0,2.5
"100,500",44.0,1.0,1.0,1.0
"120,000",55.0,1.0,2.0,2.0
"232,320",88.0,2.0,3.0,2.0
"240,425",91.0,2.0,3.0,2.0
"159,335",110.0,2.0,3.0,2.0
"90,000",55.0,1.0,2.0,1.0
"203,020",69.0,2.0,1.0,0.0
"6,500",72.0,2.0,3.0,2.0
"198,280",68.0,2.0,1.0,1.0
"254,610",100.0,5.0,3.0,2.0
"193,118",43.0,1.0,1.0,1.0
"130,000",73.0,2.0,2.0,2.0
"225,000",78.0,2.0,2.0,2.0
"112,658",59.0,1.0,2.0,2.0
"168,900",75.0,0.0,3.0,2.0
"104,635",80.0,2.0,3.0,2.0
"160,000",61.0,1.0,1.0,1.0
"430,000",208.0,3.0,3.0,4.0
"325,000",187.0,2.0,3.0,2.5
"800,000",413.0,5.0,3.0,3.5
"450,000",238.0,3.0,3.0,3.5
"595,000",200.0,3.0,3.0,2.5
"148,700",61.0,1.0,2.0,2.0
"270,000",154.0,2.0,4.0,2.5
"185,000",137.0,2.0,2.0,2.0
"169,000",44.0,1.0,1.0,1.0
"330,000",200.0,2.0,3.0,3.0
"365,000",130.0,2.0,3.0,2.5
"250,000",96.0,1.0,2.0,2.0
"172,500",73.0,1.0,1.0,1.0
"135,000",61.0,2.0,2.0,2.0
"117,650",57.0,1.0,2.0,2.0
"155,000",98.0,2.0,2.0,1.0
"360,000",201.0,2.0,2.0,2.0
"285,000",187.0,2.0,3.0,2.0
"285,000",165.0,2.0,3.0,2.0
"157,000",71.0,2.0,2.0,2.0
"708,182",164.0,0.0,4.0,3.0
"369,421",164.0,0.0,3.0,2.0
"130,000",78.0,2.0,2.0,2.0
"315,000",134.0,2.0,3.0,2.5
"659,961",272.0,3.0,3.0,3.5
"130,000",75.0,2.0,2.0,2.0
"850,000",200.0,2.0,2.0,4.0
"410,000",162.0,2.0,3.0,2.0
"380,000",164.0,2.0,3.0,3.0
"295,000",245.0,0.0,2.0,2.0
"895,000",304.0,0.0,3.0,3.0
"184,000",85.0,2.0,3.0,2.0
"155,630",58.0,0.0,1.0,1.0
"270,000",152.0,2.0,3.0,2.5
"168,700",58.0,0.0,1.0,1.0
"60,895",26.0,0.0,1.0,1.0
"63,520",25.0,0.0,1.0,1.0
"301,990",165.0,0.0,3.0,2.0
"92,715",69.0,0.0,3.0,2.0
"440,000",207.0,2.0,2.0,2.5
"251,175",128.0,2.0,3.0,2.0
"40,170",17.0,0.0,1.0,1.0
"185,000",75.0,0.0,1.0,1.0
"240,000",132.0,0.0,3.0,3.0
"115,000",75.0,0.0,2.0,2.0
"318,750",140.0,0.0,3.0,3.0
"285,000",197.0,0.0,2.0,3.0
"295,000",115.0,0.0,3.0,2.0
"430,000",236.0,2.0,4.0,4.5
"162,100",68.0,0.0,2.0,1.0
"210,000",86.0,0.0,2.0,2.0
"267,517",146.0,2.0,3.0,3.0
"68,000",66.0,2.0,3.0,1.0
"140,000",66.0,2.0,2.0,2.0
"365,000",136.0,0.0,3.0,3.5
"92,715",69.0,0.0,3.0,2.0
"225,000",195.0,2.0,2.0,2.5
"160,000",65.0,1.0,1.0,1.0
"310,000",145.0,2.0,3.0,2.5
"455,000",207.0,3.0,2.0,2.0
"190,000",68.0,2.0,2.0,2.0
"590,000",380.0,4.0,3.0,3.0
"215,000",183.0,2.0,3.0,2.0
"265,000",122.0,2.0,2.0,2.5
"196,000",72.0,2.0,2.0,1.0
"234,963",72.0,2.0,2.0,2.0
"118,750",57.0,1.0,2.0,2.0
"310,000",118.0,2.0,2.0,2.5
"430,000",243.0,2.0,3.0,3.0
"160,000",61.0,1.0,1.0,1.0
"210,000",120.0,2.0,2.0,2.0
"450,000",236.0,3.0,3.0,3.0
"115,000",67.0,1.0,2.0,1.0
"241,245",156.0,2.0,3.0,2.5
"650,000",272.0,3.0,3.0,3.5
"130,000",71.0,2.0,2.0,2.0
"125,000",69.0,1.0,2.0,1.0
"240,000",200.0,2.0,5.0,3.0
"82,000",70.0,2.0,3.0,1.0
"125,000",72.0,2.0,2.0,2.0
"90,000",110.0,2.0,3.0,1.0
"130,000",108.0,2.0,2.0,2.0
"160,000",113.0,2.0,1.0,1.0
"253,000",98.0,2.0,2.0,3.0
"650,000",272.0,3.0,3.0,3.5
"172,500",73.0,1.0,2.0,1.0
"118,750",57.0,1.0,2.0,2.0
"750,000",80.0,2.0,3.0,2.0
"191,999",91.0,2.0,3.0,2.0
"120,000",100.0,0.0,3.0,2.5
"420,000",130.0,2.0,3.0,2.5
"350,000",124.0,2.0,3.0,2.5
"317,600",106.0,2.0,3.0,2.5
"180,000",79.0,2.0,2.0,2.0
"133,811",75.0,1.0,1.0,1.0
"250,000",92.0,2.0,3.0,2.0
"118,750",57.0,1.0,2.0,2.0
"122,000",38.0,1.0,1.0,1.0
"118,600",68.0,2.0,2.0,2.0
"112,000",37.0,1.0,1.0,1.0
"225,000",141.0,1.0,2.0,2.0
"350,000",186.0,2.0,3.0,2.0
"200,000",100.0,2.0,2.0,2.0
"135,000",40.0,1.0,1.0,1.0
"125,000",72.0,2.0,2.0,2.0
"120,000",45.0,1.0,1.0,1.0
"93,000",48.0,1.0,2.0,1.0
"125,000",101.0,2.0,2.0,2.0
"395,000",220.0,2.0,2.0,2.0
"230,000",141.0,0.0,2.0,2.0
"150,000",65.0,2.0,2.0,1.0
"495,000",146.0,2.0,2.0,2.5
"101,265",44.0,1.0,2.0,1.0
"650,000",38.0,1.0,1.0,1.0
"700,000",295.0,3.0,3.0,3.5
"165,000",110.0,2.0,3.0,2.0
"257,750",136.0,2.0,3.0,2.5
"215,600",106.0,2.0,2.0,2.0
"370,000",200.0,3.0,3.0,2.0
"430,000",281.0,3.0,2.0,2.0
"430,000",236.0,2.0,3.0,3.5
"125,000",72.0,2.0,2.0,2.0
"201,298",91.0,2.0,2.0,2.0
"201,299",91.0,2.0,3.0,2.0
"350,000",124.0,2.0,3.0,2.5
"132,000",100.0,2.0,3.0,2.0
"155,000",74.0,2.0,2.0,2.0
"370,000",126.0,2.0,3.0,2.5
"44,375",60.0,1.0,3.0,1.0
"104,000",60.0,1.0,1.0,1.0
"750,000",431.0,3.0,3.0,3.0
"150,000",58.0,2.0,1.0,2.0
"130,000",38.0,1.0,1.0,1.0
"190,000",95.0,2.0,3.0,2.0
"130,000",65.0,1.0,2.0,2.0
"100,000",37.0,1.0,1.0,1.0
"315,000",107.0,2.0,3.0,2.5
"150,000",45.0,1.0,1.0,1.0
"249,000",148.0,0.0,3.0,3.0
"350,000",220.0,2.0,2.0,2.5
"295,000",117.0,2.0,2.0,2.5
"155,000",75.0,2.0,2.0,2.0
"259,990",185.0,1.0,3.0,3.0
"146,670",70.0,0.0,3.0,2.0
"495,000",146.0,2.0,2.0,2.5
"220,000",101.0,2.0,2.0,2.0
"156,250",112.0,2.0,3.0,2.5
